ID,시도,시군구,읍면동,행정기관코드,총인구수,어린이,노인,겹침 비율
16,서울특별시;서울특별시,용산구;용산구,원효로제2동;효창동,1117057000,24022,2936,4274,0.272080906
17,서울특별시,용산구,용문동,1117059000,11141,1172,2381,0
72,서울특별시,중랑구,묵제1동,1126062000,33343,4384,6906,0.254932482
115,서울특별시,도봉구,도봉제1동,1132052100,19615,1460,6479,0.290185386
124,서울특별시,노원구,월계1동,1135056000,20342,2290,4660,0.150267568
126,서울특별시,노원구,공릉1동,1135059500,35590,3684,7538,0.178744339
128,서울특별시,노원구,월계3동,1135058000,28121,3347,6940,0.15550598
157,서울특별시,은평구,진관동,1138069000,53215,9685,9744,0.277001786
158,서울특별시,은평구,수색동,1138065000,21078,3214,3489,0.122328829
174,서울특별시,마포구,도화동,1144058500,20400,2613,4070,0
175,서울특별시,마포구,용강동,1144059000,21190,3960,3263,0
222,서울특별시,강서구,방화제2동,1150064000,22848,2085,5685,0
224,서울특별시,강서구,방화제3동,1150064100,21616,2249,6092,0
237,서울특별시,구로구,오류제1동,1153077000,22616,1959,4623,0.147140192
264,서울특별시,동작구,노량진제1동,1159051000,32758,3222,6502,0
267,서울특별시,동작구,노량진제2동,1159052000,8063,371,1834,0
268,서울특별시,동작구,상도제2동,1159054000,27157,3965,4864,0.177783457
275,서울특별시,동작구,대방동,1159066000,34205,4772,5992,0.110460489
303,서울특별시,서초구,서초2동,1165052000,24739,4258,3301,0.236447293
315,서울특별시,서초구,양재2동,1165065200,20956,2252,3503,0
316,서울특별시,서초구,내곡동,1165066000,16758,2890,3698,0
329,서울특별시,강남구,도곡2동,1168065600,32344,6983,5553,0.299002368
330,서울특별시,강남구,도곡1동,1168065500,20669,3867,3377,0.219187299
332,서울특별시,강남구,개포1동,1168066000,26622,5902,4254,0.109900356
335,서울특별시,강남구,개포4동,1168069000,23088,3569,3882,0
340,서울특별시,송파구,거여1동,1171053100,11759,1185,2780,0
341,서울특별시,송파구,거여2동,1171053200,23286,3281,4928,0
342,서울특별시,송파구,마천1동,1171054000,15463,1673,4178,0
343,서울특별시,송파구,마천2동,1171055000,17220,1477,4789,0
346,서울특별시,송파구,오금동,1171057000,37794,5099,7835,0.029084055
353,서울특별시,송파구,가락2동,1171063200,30599,4985,5109,0.047516852
355,서울특별시,송파구,문정1동,1171064100,19638,2295,3626,0.019689575
524,부산광역시,기장군,일광읍,2671025900,30059,5856,4963,0.171138265
525,부산광역시,기장군,장안읍,2671025300,8546,741,2753,0.001372973
526,부산광역시,기장군,철마면,2671033000,7333,612,2934,0.124602214
536,대구광역시;대구광역시,동구;동구,효목2동;도평동,2714060000,17563,1857,4884,0.061413281
537,대구광역시,동구,불로.봉무동,2714062000,19761,3602,3963,0.272995199
541,대구광역시,동구,해안동,2714068500,13554,1197,4339,0.152793722
542,대구광역시,동구,안심2동,2714073000,16588,2125,3368,0.296737223
546,대구광역시,동구,공산동,2714076000,20200,2312,5866,0
568,대구광역시,북구,무태조야동,2723069500,33360,5616,5871,0.26009175
575,대구광역시,북구,읍내동,2723077000,24713,3135,5059,0.242448817
578,대구광역시,북구,국우동,2723080000,29968,5457,3679,0.023982831
614,대구광역시,달서구,도원동,2729062800,31919,3955,7692,0.259667473
621,대구광역시,달성군,유가읍,2771025900,31099,8635,2857,0.287599683
622,대구광역시;대구광역시,달성군;달성군,논공읍;논공읍공단출장소,2771025300,15434,1761,3442,0.025572124
623,대구광역시,달성군,옥포읍,2771026200,22936,3660,5311,0.043957831
625,대구광역시;대구광역시;대구광역시,달성군;달성군;달성군,가창면;하빈면;구지면,2771031000,29163,4904,6850,0.003418598
633,인천광역시,중구,운서동,2811062800,38861,5029,3812,0.280970407
635,인천광역시,중구,용유동,2811063000,3493,113,1483,0
756,광주광역시,동구,지원2동,2911074000,18071,3049,3343,0.28750695
766,광주광역시;광주광역시,서구;서구,서창동;금호1동,2914080000,26066,3797,5651,0.174346081
768,광주광역시,서구,금호2동,2914082400,26441,5145,3289,0.222167777
780,광주광역시;광주광역시,남구;남구,송암동;대촌동,2915572000,29532,6315,4883,0.231468908
785,광주광역시,북구,운암3동,2917060300,13473,2347,2652,0.187600091
811,광주광역시;광주광역시;광주광역시;광주광역시,광산구;광산구;광산구;광산구,동곡동;평동;삼도동;본량동,2920066000,10559,737,4082,0.187291655
822,대전광역시;대전광역시,동구;동구,대청동;산내동,3011072500,23213,4220,5422,0.124629538
828,대전광역시,중구,태평1동,3014068000,12314,2063,2611,0.1268228
833,대전광역시,중구,산성동,3014074000,25006,2718,7177,0.15214866
850,대전광역시;대전광역시,서구;서구,기성동;둔산1동,3017063000,19699,4775,3508,0.018682155
853,대전광역시,유성구,진잠동,3020052000,25344,3703,4636,0.237718551
860,대전광역시,유성구,노은2동,3020054700,23301,4606,3256,0.193026558
870,대전광역시,대덕구,신탄진동,3023055000,16019,2010,3273,0.071471383
900,울산광역시,북구,농소2동,3120052000,41714,9758,4359,0.166949797
901,울산광역시,북구,농소3동,3120053000,35883,7651,3740,0.287848358
908,울산광역시,울주군,언양읍,3171025300,29240,4876,5819,0.123253616
910,울산광역시,울주군,온양읍,3171025600,27995,4765,4749,0.198123051
913,울산광역시;울산광역시;울산광역시;울산광역시,울주군;울주군;울주군;울주군,서생면;웅촌면;두동면;두서면,3171031000,22920,1731,8474,0.115815049
914,울산광역시,울주군,상북면,3171038000,7887,538,2986,0.070531678
916,울산광역시,울주군,삼동면,3171040000,1692,61,828,0.005310824
928,세종특별자치시,세종특별자치시,소담동,3611055500,21533,5762,1685,0
929,세종특별자치시,세종특별자치시,반곡동,3611055600,28559,7495,1451,0.05015625
941,경기도,수원시 장안구,연무동,4111160000,17207,1597,4315,0.128425564
1002,경기도,성남시 분당구,야탑3동,4113564000,26149,3237,5249,0.269667893
1019,경기도,의정부시,장암동,4115056100,18493,2662,4433,0.224678691
1099,경기도,평택시,팽성읍,4122025000,27391,3026,7409,0.04495775
1102,경기도;경기도;경기도,평택시;평택시;평택시,진위면;서탄면;고덕면,4122031000,26931,2703,6332,0.175136639
1106,경기도,평택시,송탄동,4122053500,23514,4767,2389,0.109382815
1113,경기도,평택시,세교동,4122064000,37407,7016,4347,0.101520828
1118,경기도,동두천시,불현동,4125056500,24993,3338,6124,0.141540326
1119,경기도,동두천시,송내동,4125056600,24856,4056,4959,0.099608532
1148,경기도,고양시 덕양구,성사1동,4128154000,23723,2796,4923,0.040471656
1150,경기도,고양시 덕양구,효자동,4128156000,26253,5958,3011,0.110764632
1153,경기도,고양시 덕양구,창릉동,4128158000,23060,4113,3053,0.259585435
1154,경기도,고양시 덕양구,관산동,4128160000,33880,3574,8992,0.076469227
1155,경기도,고양시 덕양구,고양동,4128159000,27555,3864,6602,0.204414751
1164,경기도,고양시 덕양구,화전동,4128166000,27838,5676,3577,0.139327037
1166,경기도,고양시 덕양구,대덕동,4128167000,16681,3997,1418,0.067329934
1171,경기도,고양시 일산동구,백석1동,4128555100,28513,3836,4680,0
1172,경기도,고양시 일산동구,백석2동,4128555200,20083,1634,3604,0
1188,경기도,고양시 일산서구,가좌동,4128761000,18382,2978,3242,0.0033008
1209,경기도;경기도,남양주시;남양주시,별내면;수동면,4136031000,26513,2939,7613,0.044112237
1210,경기도,남양주시,호평동,4136051000,55616,11154,8464,0.042309417
1212,경기도,남양주시,조안면,4136036000,3759,300,1323,0.002542839
1222,경기도,오산시,세마동,4137055000,31746,6249,3681,0.246804699
1226,경기도,오산시,초평동,4137056000,22816,4093,2757,0.271134352
1258,경기도,의왕시,청계동,4143056000,36826,5430,6765,0.211715312
1261,경기도;경기도;경기도,하남시;하남시;하남시,천현동;신장1동;덕풍1동,4145051000,26858,2461,6859,0.295432251
1264,경기도,하남시,감일동,4145058200,39536,9937,3981,0
1265,경기도,하남시,위례동,4145058500,35078,8602,3406,0.292456377
1270,경기도,용인시 처인구,포곡읍,4146125000,31114,4461,5580,0.05023231
1273,경기도,용인시 처인구,이동읍,4146125600,19337,2514,4493,0.244197783
1274,경기도,용인시 처인구,남사읍,4146125900,23570,5113,4373,0.205667225
1276,경기도,용인시 처인구,양지면,4146136000,19743,2684,3985,0
1282,경기도;경기도,용인시 처인구;용인시 처인구,삼가동;동부동,4146152600,24307,3163,4866,0.172902491
1285,경기도,용인시 기흥구,보라동,4146353500,32617,6049,5750,0.247188883
1287,경기도,용인시 기흥구,기흥동,4146354000,20842,3051,4221,0.125824104
1290,경기도,용인시 기흥구,동백1동,4146357200,31227,7140,4017,0
1292,경기도,용인시 기흥구,동백2동,4146357500,26297,5750,3522,0.000811214
1324,경기도;경기도,이천시;이천시,신둔면;백사면,4150031000,25999,3221,6005,0.139549756
1331,경기도;경기도;경기도;경기도,안성시;안성시;안성시;안성시,보개면;금광면;서운면;미양면,4155031000,20171,1518,7512,0.127281415
1332,경기도;경기도;경기도,안성시;안성시;안성시,대덕면;양성면;원곡면,4155035000,25584,2696,6235,0.035374927
1337,경기도,김포시,통진읍,4157025000,34890,4657,7872,0.11098569
1345,경기도,김포시,장기동,4157056000,40401,9628,5257,0.149974412
1348,경기도,김포시,운양동,4157058000,49077,11973,5828,0.020944379
1354,경기도;경기도;경기도,화성시;화성시;화성시,매송면;비봉면;마도면,4159031000,26177,2613,6608,0.254563335
1355,경기도;경기도;경기도,화성시;화성시;화성시,송산면;서신면;팔탄면,4159034000,26995,1869,9045,0.198131934
1357,경기도;경기도,화성시;화성시,양감면;정남면,4159040000,14387,968,4310,0.006665622
1359,경기도,화성시,병점1동,4159053000,36186,6437,4104,0.257314493
1373,경기도,광주시,초월읍,4161025300,51824,8385,8825,0.103564146
1374,경기도,화성시,화산동,4159057000,27834,4187,4493,0.006353862
1376,경기도;경기도;경기도;경기도,광주시;광주시;광주시;광주시,도척면;퇴촌면;남종면;남한산성면,4161033000,28123,2985,8900,0.018719549
1380,경기도,광주시,광남1동,4161056000,31449,4028,6044,0.290410899
1386,경기도,광주시,능평동,4161061000,22440,3290,4134,0.056446964
1388,경기도;경기도;경기도,양주시;양주시;양주시,은현면;남면;광적면,4163031000,21778,1846,6942,0.152381447
1389,경기도,양주시,장흥면,4163034000,12027,935,4308,0.018053111
1391,경기도,양주시,회천2동,4163054000,45809,7768,7270,0.068265796
1392,경기도;경기도,양주시;양주시,양주1동;회천1동,4163051000,13168,1453,3632,0.238703604
1393,경기도,양주시,옥정1동,4163057000,39925,8232,4657,0
1395,경기도,포천시,소흘읍,4165025000,42856,6154,8735,0.089516331
1396,경기도,양주시,회천3동,4163055000,24929,4015,4422,0.214643922
1397,경기도;경기도;경기도,포천시;포천시;포천시,군내면;내촌면;가산면,4165031000,20829,1812,6107,0.069049164
1401,경기도,포천시,포천동,4165051000,19276,2522,4290,0.000793195
1405,경기도;경기도,여주시;여주시,강천면;산북면,4167038000,6740,528,2642,0.15042962
1411,경기도,가평군,가평읍,4182025000,21248,2839,5792,0.169387367
1412,경기도;경기도;경기도,가평군;가평군;가평군,설악면;청평면;상면,4182031000,28329,2559,10116,0.080066825
1414,경기도;경기도,가평군;가평군,조종면;북면,4182034500,12657,1343,4258,0.022282602
1415,경기도;경기도;경기도,양평군;양평군;양평군,강상면;강하면;양서면,4183031000,28806,3375,9574,0.059991687
1416,경기도;경기도;경기도;경기도;경기도,양평군;양평군;양평군;양평군;양평군,옥천면;서종면;단월면;청운면;양동면,4183034000,29960,2979,11296,0.004501052
1417,경기도,양평군,지평면,4183039500,6623,470,2929,0.044994921
1418,경기도;경기도,양평군;양평군,용문면;개군면,4183040000,23447,2877,7832,0.183587918
1426,충청북도;충청북도,청주시 서원구;청주시 서원구,남이면;현도면,4311231000,12672,1098,4184,0.100349908
1434,충청북도;충청북도,청주시 흥덕구;청주시 흥덕구,강내면;옥산면,4311331000,27638,4589,5409,0.097929879
1439,충청북도,청주시 흥덕구,강서1동,4311376000,30602,4746,4402,0.001709175
1441,충청북도,청주시 흥덕구,강서2동,4311377000,16332,4368,1174,0.244230837
1442,충청북도,청주시 청원구,오창읍,4311425300,68563,15809,6639,0.271493751
1443,충청북도,청주시 청원구,내수읍,4311425000,18975,2533,4364,0.172479861
1444,충청북도,청주시 청원구,북이면,4311431000,4113,178,1923,0.181255331
1451,충청북도;충청북도,충주시;충주시,중앙탑면;금가면,4313039000,18376,3907,2740,0.148545862
1452,충청북도;충청북도;충청북도;충청북도,충주시;충주시;충주시;충주시,동량면;산척면;엄정면;소태면,4313040000,10328,548,5122,0
1453,충청북도;충청북도,충주시;충주시,성내.충인동;교현.안림동,4313051500,24331,3529,6056,0.156804843
1459,충청북도,충주시,목행.용탄동,4313064000,6161,953,1184,0.158480316
1460,충청북도,제천시,봉양읍,4315025000,6513,447,2794,0.222835756
1461,충청북도;충청북도;충청북도;충청북도;충청북도;충청북도;충청북도,제천시;제천시;제천시;제천시;제천시;제천시;제천시,금성면;청풍면;수산면;덕산면;한수면;백운면;송학면,4315031000,15638,916,7491,0.168442683
1464,충청북도;충청북도,제천시;제천시,용두동;신백동,4315056000,29274,4543,6065,0.204622959
1468,충청북도;충청북도;충청북도;충청북도;충청북도;충청북도;충청북도;충청북도;충청북도,보은군;보은군;보은군;보은군;보은군;보은군;보은군;보은군;보은군,속리산면;장안면;마로면;탄부면;삼승면;수한면;회남면;회인면;내북면,4372031500,14606,809,7385,0.048991459
1471,충청북도;충청북도;충청북도;충청북도;충청북도;충청북도;충청북도;충청북도,옥천군;옥천군;옥천군;옥천군;옥천군;옥천군;옥천군;옥천군,동이면;안남면;안내면;청성면;청산면;이원면;군서면;군북면,4373031000,19973,937,10167,0.01061527
1473,충청북도;충청북도;충청북도;충청북도;충청북도;충청북도;충청북도;충청북도;충청북도,영동군;영동군;영동군;영동군;영동군;영동군;영동군;영동군;영동군,용산면;황간면;추풍령면;매곡면;상촌면;양강면;용화면;학산면;양산면,4374031000,21260,1275,10156,0.069757504
1475,충청북도,영동군,심천면,4374040000,2912,115,1525,0
1489,충청북도;충청북도;충청북도;충청북도;충청북도;충청북도,단양군;단양군;단양군;단양군;단양군;단양군,대강면;가곡면;영춘면;어상천면;적성면;단성면,4380036000,12240,608,6023,0.055168535
1490,충청남도,천안시 동남구,목천읍,4413125000,22338,2955,4847,0
1491,충청남도;충청남도;충청남도;충청남도;충청남도;충청남도,천안시 동남구;천안시 동남구;천안시 동남구;천안시 동남구;천안시 동남구;천안시 동남구,풍세면;광덕면;북면;성남면;수신면;병천면,4413131000,29331,2422,9436,0.231771986
