ID,시도,시군구,읍면동,행정기관코드,총인구수,어린이,노인
1,서울특별시;서울특별시;서울특별시,종로구;종로구;종로구,청운효자동;사직동;삼청동,1111051500;1111053000;1111054000,22112,2808,4824
2,서울특별시;서울특별시,종로구;종로구,부암동;평창동,1111055000;1111056000,26249,3568,5874
3,서울특별시;서울특별시,종로구;종로구,무악동;교남동,1111057000;1111058000,17341,2810,3318
4,서울특별시;서울특별시;서울특별시;서울특별시,종로구;종로구;종로구;종로구,가회동;종로1.2.3.4가동;종로5.6가동;이화동,1111060000;1111061500;1111063000;1111064000,22735,1624,5234
5,서울특별시;서울특별시;서울특별시,종로구;종로구;종로구,혜화동;창신제1동;창신제2동,1111065000;1111067000;1111068000,27638,2394,6065
6,서울특별시,종로구,창신제3동,1111069000,6205,657,1411
7,서울특별시;서울특별시,종로구;종로구,숭인제1동;숭인제2동,1111070000;1111071000,15904,964,3209
8,서울특별시;서울특별시;서울특별시;서울특별시;서울특별시;서울특별시,중구;중구;중구;중구;중구;중구,소공동;회현동;명동;필동;장충동;광희동,1114052000;1114054000;1114055000;1114057000;1114058000;1114059000,23649,1828,5414
9,서울특별시;서울특별시;서울특별시,중구;중구;중구,을지로동;신당동;다산동,1114060500;1114061500;1114062500,23448,1715,5250
10,서울특별시;서울특별시,중구;중구,약수동;청구동,1114063500;1114064500,27712,2769,7171
11,서울특별시;서울특별시,중구;중구,신당제5동;동화동,1114065000;1114066500,19896,2158,4318
12,서울특별시;서울특별시,중구;중구,황학동;중림동,1114067000;1114068000,25145,2623,4514
13,서울특별시;서울특별시,용산구;용산구,후암동;용산2가동,1117051000;1117052000,24385,2289,5340
14,서울특별시;서울특별시,용산구;용산구,남영동;청파동,1117053000;1117055500,25283,1663,5118
15,서울특별시,용산구,원효로제1동,1117056000,17085,1979,2180
16,서울특별시;서울특별시,용산구;용산구,원효로제2동;효창동,1117057000;1117058000,24022,2936,4274
17,서울특별시,용산구,용문동,1117059000,11141,1172,2381
18,서울특별시,용산구,한강로동,1117062500,20821,2099,3387
19,서울특별시,용산구,이촌제1동,1117063000,24954,4665,4637
20,서울특별시;서울특별시;서울특별시,용산구;용산구;용산구,이촌제2동;이태원제1동;이태원제2동,1117064000;1117065000;1117066000,22224,1963,5182
21,서울특별시;서울특별시,용산구;용산구,한남동;서빙고동,1117068500;1117069000,26368,3707,5007
22,서울특별시,용산구,보광동,1117070000,7122,497,1752
23,서울특별시,성동구,왕십리제2동,1120052000,15894,1979,2909
24,서울특별시,성동구,왕십리도선동,1120053500,25975,3515,4369
25,서울특별시,성동구,마장동,1120054000,21343,2286,4389
26,서울특별시;서울특별시,성동구;성동구,사근동;행당제1동,1120055000;1120056000,25743,2881,3967
27,서울특별시,성동구,행당제2동,1120057000,22535,3328,4334
28,서울특별시;서울특별시,성동구;성동구,응봉동;금호1가동,1120058000;1120059000,29141,4327,5687
29,서울특별시,성동구,금호2.3가동,1120061500,20824,2584,4158
30,서울특별시,성동구,금호4가동,1120062000,14008,2009,2796
31,서울특별시,성동구,옥수동,1120064500,25189,3804,4692
32,서울특별시;서울특별시,성동구;성동구,성수1가제1동;성수1가제2동,1120065000;1120066000,27784,2965,4921
33,서울특별시;서울특별시,성동구;성동구,성수2가제1동;성수2가제3동,1120067000;1120069000,23605,2052,5093
34,서울특별시;서울특별시,성동구;성동구,송정동;용답동,1120072000;1120079000,21482,1488,4362
35,서울특별시,광진구,화양동,1121571000,23050,1017,2463
36,서울특별시,광진구,군자동,1121573000,18648,1475,3465
37,서울특별시,광진구,중곡제1동,1121574000,15022,1104,2879
38,서울특별시,광진구,중곡제2동,1121575000,20086,1902,3888
39,서울특별시,광진구,중곡제3동,1121576000,15357,1249,3350
40,서울특별시,광진구,중곡제4동,1121577000,27127,2467,6151
41,서울특별시,광진구,광장동,1121581000,33632,7557,4473
42,서울특별시,광진구,능동,1121578000,10870,874,1823
43,서울특별시,광진구,자양제1동,1121582000,21747,1925,4057
44,서울특별시,광진구,자양제2동,1121583000,24045,2845,4709
45,서울특별시,광진구,자양제3동,1121584000,26927,4099,5049
46,서울특별시,광진구,자양제4동,1121584700,19670,1518,4335
47,서울특별시,광진구,구의제1동,1121585000,22984,1912,3698
48,서울특별시,광진구,구의제2동,1121586000,25159,3179,5049
49,서울특별시,동대문구,용신동,1123053600,38807,3736,6980
50,서울특별시,광진구,구의제3동,1121587000,27610,3745,4892
51,서울특별시,동대문구,전농제1동,1123056000,32742,4009,6517
52,서울특별시,동대문구,제기동,1123054500,22886,1847,5900
53,서울특별시,동대문구,전농제2동,1123057000,17600,2331,4147
54,서울특별시,동대문구,답십리제1동,1123060000,27731,3999,4679
55,서울특별시,동대문구,장안제1동,1123065000,37026,4310,7632
56,서울특별시,동대문구,장안제2동,1123066000,32958,5258,6161
57,서울특별시,동대문구,답십리제2동,1123061000,26942,3101,6304
58,서울특별시;서울특별시,동대문구;동대문구,청량리동;회기동,1123070500;1123071000,28659,2453,7510
59,서울특별시,동대문구,휘경제1동,1123072000,13233,1374,2183
60,서울특별시,동대문구,휘경제2동,1123073000,24166,2847,4490
61,서울특별시,동대문구,이문제1동,1123074000,20881,2683,3345
62,서울특별시,동대문구,이문제2동,1123075000,18592,2413,4340
